District,Season,Rice Category,Rice Area,Rice Production,Rice Yield,Area Unit,Production Unit,Yield Unit,Source Document,Source URL,Page Number,Table Number,Verification Status,Directly Reported or Calculated,Verification Notes
Bahawalpur,2021-22,Basmati,19020,37100,1950,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalpur,2021-22,Non-Basmati,4450,12910,2900,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bahawalpur,2021-22,Total Rice,23470,50010,2131,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Bahawalpur,2022-23,Total Rice,10120,21540,2128,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Bhakkar,2020-21,Basmati,2030,4000,1977,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bhakkar,2020-21,Total Rice,2030,4000,1970,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Bhakkar,2021-22,Basmati,1620,3340,2064,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Bhakkar,2021-22,Total Rice,1620,3340,2062,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Bhakkar,2022-23,Total Rice,1000,1860,1860,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Chiniot,2020-21,Basmati,28730,63600,2213,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Chiniot,2020-21,Non-Basmati,12140,31600,2603,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Chiniot,2020-21,Total Rice,40870,95200,2329,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Chiniot,2021-22,Basmati,29140,70660,2425,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Chiniot,2021-22,Non-Basmati,23070,62180,2695,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Chiniot,2021-22,Total Rice,52210,132840,2544,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Chiniot,2022-23,Total Rice,42000,106750,2542,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Dera Ghazi Khan,2020-21,Basmati,14160,29600,2090,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Dera Ghazi Khan,2020-21,Non-Basmati,60700,143200,2359,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Dera Ghazi Khan,2020-21,Total Rice,74860,172800,2308,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Dera Ghazi Khan,2021-22,Basmati,1210,2850,2349,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Dera Ghazi Khan,2021-22,Non-Basmati,86600,270460,3123,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Dera Ghazi Khan,2021-22,Total Rice,87810,273310,3113,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Dera Ghazi Khan,2022-23,Total Rice,59080,168420,2851,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Faisalabad,2020-21,Basmati,38040,86500,2274,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Faisalabad,2020-21,Non-Basmati,4050,10700,2644,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Faisalabad,2020-21,Total Rice,42090,97200,2309,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Faisalabad,2021-22,Basmati,38040,80160,2107,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Faisalabad,2021-22,Non-Basmati,6880,16810,2443,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Faisalabad,2021-22,Total Rice,44920,96970,2159,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Faisalabad,2022-23,Total Rice,32370,72600,2243,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Gujranwala,2020-21,Basmati,72840,136600,1875,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujranwala,2020-21,Non-Basmati,189790,453600,2390,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujranwala,2020-21,Total Rice,262630,590200,2247,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Gujranwala,2021-22,Basmati,69610,119560,1718,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujranwala,2021-22,Non-Basmati,190600,444610,2333,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujranwala,2021-22,Total Rice,260210,564170,2168,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Gujranwala,2022-23,Total Rice,258000,377040,1461,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Gujrat,2020-21,Basmati,42490,76900,1810,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujrat,2020-21,Non-Basmati,2020,4600,2273,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujrat,2020-21,Total Rice,44510,81500,1831,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Gujrat,2021-22,Basmati,33180,57720,1740,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujrat,2021-22,Non-Basmati,5260,12770,2428,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Gujrat,2021-22,Total Rice,38440,70490,1834,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Gujrat,2022-23,Total Rice,34810,64800,1862,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Hafizabad,2020-21,Basmati,123430,279300,2263,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Hafizabad,2020-21,Non-Basmati,25900,62600,2417,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Hafizabad,2020-21,Total Rice,149330,341900,2290,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Hafizabad,2021-22,Basmati,120590,282960,2347,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Hafizabad,2021-22,Non-Basmati,30350,79170,2608,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
