District,Season,Wheat Area (ha),Wheat Production (tonnes),Wheat Yield (kg/ha),Source,Source URL,Verification Status
Bahawalnagar,2011-12,336290,989160,2941,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2012-13,335890,1002070,2984,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalnagar,2013-14,358950,1089550,3035,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2014-15,369060,1161200,3146,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalnagar,2015-16,371090,1132480,3051.76641785012,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Bahawalnagar,2016-17,372710,1218430,3269,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalnagar,2017-18,369070,1132710,3069,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2018-19,356920,1158390,3246,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2020-21,426930,1587150,3718,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalnagar,2021-22,424910,1513890,3562,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Bahawalnagar,2022-23,423300,1563000,3693,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2010-11,280440,881900,3145,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalpur,2011-12,262230,836770,3191,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2012-13,265460,796160,2999,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalpur,2013-14,291370,881300,3024,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2014-15,297040,905110,3047,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalpur,2015-16,300270,969030,3227.19552402837,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Bahawalpur,2016-17,289350,984490,3402,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalpur,2017-18,286110,921880,3222,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2018-19,285300,860460,3016,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2020-21,301080,1002910,3331,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bahawalpur,2021-22,295820,1052060,3556,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Bahawalpur,2022-23,287700,1073600,3731,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2010-11,181700,444420,2446,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bhakkar,2011-12,173610,387760,2234,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2012-13,167940,409350,2438,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bhakkar,2013-14,173210,436120,2518,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2014-15,184940,411700,2226,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bhakkar,2015-16,180490,411680,2280.90198902986,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Bhakkar,2016-17,169150,519390,3070,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bhakkar,2017-18,162280,378200,2331,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2018-19,150540,331380,2202,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2020-21,188580,525740,2787,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Bhakkar,2021-22,180080,475430,2640,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Bhakkar,2022-23,163100,471700,2892,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2010-11,126260,165930,1314,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chakwal,2011-12,121810,112910,927,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2012-13,117760,191450,1626,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chakwal,2013-14,120190,157630,1312,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2014-15,119380,197740,1656,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chakwal,2015-16,129900,233880,1800.46189376443,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Chakwal,2016-17,115330,143290,1242,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chakwal,2017-18,116140,129230,1112,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2018-19,119790,160100,1336,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2020-21,154990,260750,1682,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chakwal,2021-22,150530,252020,1673,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Chakwal,2022-23,100800,178500,1771,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate); BOUNDARY CHANGE: area reduced when Talagang District was carved out - not comparable with earlier seasons
Chiniot,2010-11,107650,334880,3111,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chiniot,2011-12,97930,301330,3077,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2012-13,95910,298900,3117,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chiniot,2013-14,119790,376740,3145,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2014-15,119790,347900,2904,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chiniot,2015-16,108050,316610,2930,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2016-17,104810,320950,3062,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chiniot,2017-18,114520,340860,2976,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2018-19,111290,322300,2896,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2020-21,102380,341250,3333,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Chiniot,2021-22,96720,331920,3432,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Chiniot,2022-23,98300,368000,3742,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2010-11,175220,463560,2645,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
D.G. Khan,2011-12,168350,447850,2660,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2012-13,165510,471740,2850,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
D.G. Khan,2013-14,176850,515480,2915,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2014-15,186970,558030,2985,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
D.G. Khan,2015-16,191000,527690,2762.77486910995,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
D.G. Khan,2016-17,183720,590890,3216,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
D.G. Khan,2017-18,180480,547750,3034,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2018-19,183320,524920,2864,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2020-21,233500,760260,3256,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
D.G. Khan,2021-22,237950,755460,3175,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
D.G. Khan,2022-23,220600,739500,3353,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2010-11,283680,897440,3164,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Faisalabad,2011-12,281250,855780,3043,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2012-13,277200,864940,3120,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Faisalabad,2013-14,301490,949880,3151,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2014-15,305530,977570,3200,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Faisalabad,2015-16,300670,944830,3142,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2016-17,288940,947130,3278,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Faisalabad,2017-18,268710,861480,3206,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2018-19,269920,844950,3130,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2020-21,254540,844620,3318,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Faisalabad,2021-22,240780,788730,3276,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Faisalabad,2022-23,233100,852900,3659,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2010-11,233100,732830,3144,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujranwala,2011-12,236330,823290,3484,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2012-13,232690,736130,3164,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujranwala,2013-14,238360,755990,3172,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2014-15,233100,633450,2717,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujranwala,2015-16,225410,666550,2957.05603123198,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Gujranwala,2016-17,222980,669190,3001,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujranwala,2017-18,219340,693480,3162,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2018-19,220950,584880,2647,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2020-21,226620,719710,3176,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujranwala,2021-22,230670,685140,2970,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Gujranwala,2022-23,162300,544600,3356,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate); BOUNDARY CHANGE: area reduced when Wazirabad District was carved out - not comparable with earlier seasons
Gujrat,2010-11,151350,288500,1906,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujrat,2011-12,150940,266460,1765,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Gujrat,2012-13,150940,290850,1927,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujrat,2013-14,154180,275380,1786,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Gujrat,2014-15,158630,243720,1537,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujrat,2015-16,151760,257230,1694.97891407486,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Gujrat,2016-17,152560,281960,1848,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Gujrat,2017-18,152560,307660,2016,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Gujrat,2018-19,151350,240180,1587,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Gujrat,2020-21,151760,341930,2253,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
